
INFO:root:episode:19  step:5 Cost:53.01884694795438 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[2, 2]
INFO:root:episode:19  step:6 Cost:53.01884694795438 min Cost:48.12398988745073 Reward:-48.948570605036466 global reward:100 Action:[2, 4]
INFO:root:episode:20  step:1 Cost:32.02369058763098 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:20  step:2 Cost:47.02731783985967 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:20  step:3 Cost:57.256048323236975 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[3, 1]
INFO:root:episode:20  step:4 Cost:65.58938165657031 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[2, 5]
INFO:root:episode:20  step:5 Cost:61.42271498990364 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[2, 4]
INFO:root:episode:20  step:6 Cost:44.29851531843737 min Cost:48.12398988745073 Reward:200 global reward:200 Action:[3, 2]
INFO:root:episode:21  step:1 Cost:32.02369058763098 min Cost:23.485760722313383 Reward:0 global reward:200 Action:[2, 3]
INFO:root:episode:21  step:2 Cost:46.74983714346187 min Cost:43.987983118935105 Reward:0 global reward:200 Action:[0, 0]
INFO:root:episode:21  step:3 Cost:64.1176400196469 min Cost:55.86070862398326 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:21  step:4 Cost:48.9650431719026 min Cost:44.6372979826414 Reward:0 global reward:200 Action:[3, 2]
INFO:root:episode:21  step:5 Cost:48.9650431719026 min Cost:44.57237792381567 Reward:0 global reward:200 Action:[3, 1]
INFO:root:episode:21  step:6 Cost:53.131709838569265 min Cost:44.29851531843737 Reward:-88.33194520131897 global reward:200 Action:[0, 4]
INFO:root:episode:22  step:1 Cost:32.02369058763098 min Cost:23.485760722313383 Reward:0 global reward:200 Action:[2, 3]
INFO:root:episode:22  step:2 Cost:46.74983714346187 min Cost:43.987983118935105 Reward:0 global reward:200 Action:[0, 0]
INFO:root:episode:22  step:3 Cost:64.1176400196469 min Cost:55.86070862398326 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:22  step:4 Cost:48.9650431719026 min Cost:44.6372979826414 Reward:0 global reward:200 Action:[3, 2]
INFO:root:episode:22  step:5 Cost:48.9650431719026 min Cost:44.57237792381567 Reward:0 global reward:200 Action:[3, 1]
INFO:root:episode:22  step:6 Cost:53.131709838569265 min Cost:44.29851531843737 Reward:-88.33194520131897 global reward:200 Action:[2, 4]
INFO:root:episode:23  step:1 Cost:32.02369058763098 min Cost:23.485760722313383 Reward:0 global reward:200 Action:[2, 3]
INFO:root:episode:23  step:2 Cost:46.74983714346187 min Cost:43.987983118935105 Reward:0 global reward:200 Action:[0, 0]
INFO:root:episode:23  step:3 Cost:64.1176400196469 min Cost:55.86070862398326 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:23  step:4 Cost:48.9650431719026 min Cost:44.6372979826414 Reward:0 global reward:200 Action:[3, 2]
INFO:root:episode:23  step:5 Cost:72.38104410719616 min Cost:44.57237792381567 Reward:0 global reward:200 Action:[2, 4]
INFO:root:episode:23  step:6 Cost:64.93616154980641 min Cost:44.29851531843737 Reward:-206.37646231369047 global reward:200 Action:[0, 1]
INFO:root:episode:24  step:1 Cost:72.76484932603293 min Cost:23.485760722313383 Reward:0 global reward:200 Action:[2, 3]
INFO:root:episode:24  step:2 Cost:83.11376996137166 min Cost:43.987983118935105 Reward:0 global reward:200 Action:[0, 0]
INFO:root:episode:24  step:3 Cost:90.5274615260026 min Cost:55.86070862398326 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:24  step:4 Cost:86.36079485933593 min Cost:44.6372979826414 Reward:0 global reward:200 Action:[0, 1]
INFO:root:episode:24  step:5 Cost:86.36079485933593 min Cost:44.57237792381567 Reward:0 global reward:200 Action:[2, 2]
INFO:root:episode:24  step:6 Cost:86.36079485933593 min Cost:44.29851531843737 Reward:-420.62279540898555 global reward:200 Action:[2, 4]
INFO:root:episode:25  step:1 Cost:29.05117458765615 min Cost:23.485760722313383 Reward:0 global reward:200 Action:[2, 3]
INFO:root:episode:25  step:2 Cost:44.63091553674815 min Cost:43.987983118935105 Reward:0 global reward:200 Action:[0, 0]
INFO:root:episode:25  step:3 Cost:54.99331035079378 min Cost:55.86070862398326 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:25  step:4 Cost:44.002762482833965 min Cost:44.6372979826414 Reward:0 global reward:200 Action:[3, 2]
INFO:root:episode:25  step:5 Cost:44.057707776965906 min Cost:44.57237792381567 Reward:0 global reward:200 Action:[3, 1]
INFO:root:episode:25  step:6 Cost:48.22437444363257 min Cost:44.29851531843737 Reward:-39.258591251952026 global reward:200 Action:[2, 4]
INFO:root:episode:26  step:1 Cost:29.05117458765615 min Cost:23.485760722313383 Reward:0 global reward:200 Action:[2, 3]
INFO:root:episode:26  step:2 Cost:43.94494232415344 min Cost:43.987983118935105 Reward:0 global reward:200 Action:[0, 0]
INFO:root:episode:26  step:3 Cost:54.507398315295866 min Cost:55.86070862398326 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:26  step:4 Cost:50.3407316486292 min Cost:44.6372979826414 Reward:0 global reward:200 Action:[0, 1]
INFO:root:episode:26  step:5 Cost:50.132639514370005 min Cost:44.57237792381567 Reward:0 global reward:200 Action:[2, 2]
INFO:root:episode:26  step:6 Cost:50.132639514370005 min Cost:44.29851531843737 Reward:-58.34124195932638 global reward:200 Action:[2, 4]
INFO:root:episode:27  step:1 Cost:28.611075099531085 min Cost:23.485760722313383 Reward:0 global reward:200 Action:[2, 3]
INFO:root:episode:27  step:2 Cost:43.71229983745818 min Cost:43.987983118935105 Reward:0 global reward:200 Action:[0, 0]
